"Group1","Group2","p_value"
"2001","2000",1
"2002","2000",1
"2003","2000",1
"2004","2000",1
"2005","2000",1
"2006","2000",1
"2007","2000",1
"2008","2000",1
"2009","2000",1
"2010","2000",1
"2011","2000",1
"2012","2000",1
"2013","2000",1
"2014","2000",1
"2015","2000",0.219727891156463
"2016","2000",0.153809523809524
"2017","2000",1
"2018","2000",1
"2019","2000",1
"2020","2000",3.96825396825397e-05
"2001","2001",NA
"2002","2001",1
"2003","2001",1
"2004","2001",1
"2005","2001",1
"2006","2001",1
"2007","2001",1
"2008","2001",1
"2009","2001",1
"2010","2001",1
"2011","2001",1
"2012","2001",1
"2013","2001",1
"2014","2001",1
"2015","2001",0.219727891156463
"2016","2001",0.153809523809524
"2017","2001",1
"2018","2001",1
"2019","2001",1
"2020","2001",3.96825396825397e-05
"2001","2002",NA
"2002","2002",NA
"2003","2002",1
"2004","2002",1
"2005","2002",1
"2006","2002",1
"2007","2002",1
"2008","2002",1
"2009","2002",1
"2010","2002",1
"2011","2002",1
"2012","2002",1
"2013","2002",1
"2014","2002",1
"2015","2002",1
"2016","2002",0.763015873015873
"2017","2002",1
"2018","2002",1
"2019","2002",1
"2020","2002",0.00523809523809524
"2001","2003",NA
"2002","2003",NA
"2003","2003",NA
"2004","2003",1
"2005","2003",1
"2006","2003",1
"2007","2003",1
"2008","2003",1
"2009","2003",1
"2010","2003",1
"2011","2003",1
"2012","2003",1
"2013","2003",1
"2014","2003",1
"2015","2003",1
"2016","2003",1
"2017","2003",1
"2018","2003",1
"2019","2003",1
"2020","2003",0.0283730158730159
"2001","2004",NA
"2002","2004",NA
"2003","2004",NA
"2004","2004",NA
"2005","2004",1
"2006","2004",1
"2007","2004",1
"2008","2004",1
"2009","2004",1
"2010","2004",1
"2011","2004",1
"2012","2004",1
"2013","2004",1
"2014","2004",1
"2015","2004",1
"2016","2004",1
"2017","2004",1
"2018","2004",1
"2019","2004",1
"2020","2004",0.105238095238095
"2001","2005",NA
"2002","2005",NA
"2003","2005",NA
"2004","2005",NA
"2005","2005",NA
"2006","2005",1
"2007","2005",1
"2008","2005",1
"2009","2005",1
"2010","2005",1
"2011","2005",1
"2012","2005",1
"2013","2005",1
"2014","2005",1
"2015","2005",1
"2016","2005",1
"2017","2005",1
"2018","2005",1
"2019","2005",1
"2020","2005",0.307619047619048
"2001","2006",NA
"2002","2006",NA
"2003","2006",NA
"2004","2006",NA
"2005","2006",NA
"2006","2006",NA
"2007","2006",1
"2008","2006",1
"2009","2006",1
"2010","2006",1
"2011","2006",1
"2012","2006",1
"2013","2006",1
"2014","2006",1
"2015","2006",1
"2016","2006",1
"2017","2006",1
"2018","2006",1
"2019","2006",1
"2020","2006",1
"2001","2007",NA
"2002","2007",NA
"2003","2007",NA
"2004","2007",NA
"2005","2007",NA
"2006","2007",NA
"2007","2007",NA
"2008","2007",1
"2009","2007",1
"2010","2007",1
"2011","2007",1
"2012","2007",1
"2013","2007",1
"2014","2007",1
"2015","2007",1
"2016","2007",1
"2017","2007",1
"2018","2007",1
"2019","2007",1
"2020","2007",1
"2001","2008",NA
"2002","2008",NA
"2003","2008",NA
"2004","2008",NA
"2005","2008",NA
"2006","2008",NA
"2007","2008",NA
"2008","2008",NA
"2009","2008",1
"2010","2008",1
"2011","2008",1
"2012","2008",1
"2013","2008",1
"2014","2008",1
"2015","2008",1
"2016","2008",1
"2017","2008",1
"2018","2008",1
"2019","2008",1
"2020","2008",1
"2001","2009",NA
"2002","2009",NA
"2003","2009",NA
"2004","2009",NA
"2005","2009",NA
"2006","2009",NA
"2007","2009",NA
"2008","2009",NA
"2009","2009",NA
"2010","2009",1
"2011","2009",1
"2012","2009",1
"2013","2009",1
"2014","2009",1
"2015","2009",1
"2016","2009",1
"2017","2009",1
"2018","2009",1
"2019","2009",1
"2020","2009",1
"2001","2010",NA
"2002","2010",NA
"2003","2010",NA
"2004","2010",NA
"2005","2010",NA
"2006","2010",NA
"2007","2010",NA
"2008","2010",NA
"2009","2010",NA
"2010","2010",NA
"2011","2010",1
"2012","2010",1
"2013","2010",1
"2014","2010",1
"2015","2010",1
"2016","2010",1
"2017","2010",1
"2018","2010",1
"2019","2010",1
"2020","2010",1
"2001","2011",NA
"2002","2011",NA
"2003","2011",NA
"2004","2011",NA
"2005","2011",NA
"2006","2011",NA
"2007","2011",NA
"2008","2011",NA
"2009","2011",NA
"2010","2011",NA
"2011","2011",NA
"2012","2011",1
"2013","2011",1
"2014","2011",1
"2015","2011",1
"2016","2011",1
"2017","2011",1
"2018","2011",1
"2019","2011",1
"2020","2011",1
"2001","2012",NA
"2002","2012",NA
"2003","2012",NA
"2004","2012",NA
"2005","2012",NA
"2006","2012",NA
"2007","2012",NA
"2008","2012",NA
"2009","2012",NA
"2010","2012",NA
"2011","2012",NA
"2012","2012",NA
"2013","2012",1
"2014","2012",1
"2015","2012",1
"2016","2012",1
"2017","2012",1
"2018","2012",1
"2019","2012",1
"2020","2012",1
"2001","2013",NA
"2002","2013",NA
"2003","2013",NA
"2004","2013",NA
"2005","2013",NA
"2006","2013",NA
"2007","2013",NA
"2008","2013",NA
"2009","2013",NA
"2010","2013",NA
"2011","2013",NA
"2012","2013",NA
"2013","2013",NA
"2014","2013",1
"2015","2013",1
"2016","2013",1
"2017","2013",1
"2018","2013",1
"2019","2013",1
"2020","2013",1
"2001","2014",NA
"2002","2014",NA
"2003","2014",NA
"2004","2014",NA
"2005","2014",NA
"2006","2014",NA
"2007","2014",NA
"2008","2014",NA
"2009","2014",NA
"2010","2014",NA
"2011","2014",NA
"2012","2014",NA
"2013","2014",NA
"2014","2014",NA
"2015","2014",1
"2016","2014",1
"2017","2014",1
"2018","2014",1
"2019","2014",1
"2020","2014",1
"2001","2015",NA
"2002","2015",NA
"2003","2015",NA
"2004","2015",NA
"2005","2015",NA
"2006","2015",NA
"2007","2015",NA
"2008","2015",NA
"2009","2015",NA
"2010","2015",NA
"2011","2015",NA
"2012","2015",NA
"2013","2015",NA
"2014","2015",NA
"2015","2015",NA
"2016","2015",1
"2017","2015",1
"2018","2015",1
"2019","2015",1
"2020","2015",1
"2001","2016",NA
"2002","2016",NA
"2003","2016",NA
"2004","2016",NA
"2005","2016",NA
"2006","2016",NA
"2007","2016",NA
"2008","2016",NA
"2009","2016",NA
"2010","2016",NA
"2011","2016",NA
"2012","2016",NA
"2013","2016",NA
"2014","2016",NA
"2015","2016",NA
"2016","2016",NA
"2017","2016",1
"2018","2016",1
"2019","2016",1
"2020","2016",1
"2001","2017",NA
"2002","2017",NA
"2003","2017",NA
"2004","2017",NA
"2005","2017",NA
"2006","2017",NA
"2007","2017",NA
"2008","2017",NA
"2009","2017",NA
"2010","2017",NA
"2011","2017",NA
"2012","2017",NA
"2013","2017",NA
"2014","2017",NA
"2015","2017",NA
"2016","2017",NA
"2017","2017",NA
"2018","2017",1
"2019","2017",1
"2020","2017",1
"2001","2018",NA
"2002","2018",NA
"2003","2018",NA
"2004","2018",NA
"2005","2018",NA
"2006","2018",NA
"2007","2018",NA
"2008","2018",NA
"2009","2018",NA
"2010","2018",NA
"2011","2018",NA
"2012","2018",NA
"2013","2018",NA
"2014","2018",NA
"2015","2018",NA
"2016","2018",NA
"2017","2018",NA
"2018","2018",NA
"2019","2018",1
"2020","2018",1
"2001","2019",NA
"2002","2019",NA
"2003","2019",NA
"2004","2019",NA
"2005","2019",NA
"2006","2019",NA
"2007","2019",NA
"2008","2019",NA
"2009","2019",NA
"2010","2019",NA
"2011","2019",NA
"2012","2019",NA
"2013","2019",NA
"2014","2019",NA
"2015","2019",NA
"2016","2019",NA
"2017","2019",NA
"2018","2019",NA
"2019","2019",NA
"2020","2019",1
